Blockgroup,m0.0,m0.3,m0.6,m0.9,m1.2,m1.5,m1.8,m2.1,m2.4,m2.7,m3.0,m3.3,m3.6,m3.9,m4.2,m4.5,m4.8,m5.1,m5.4,m5.7,m6.0,m6.3,m6.6,m6.9,m7.2
060816062004,0.1254545454545454,0.21272727272727265,0.36318181818181805,0.5009090909090907,0.6336363636363634,0.6554545454545452,0.6768181818181815,0.6990909090909089,0.7086363636363634,0.7199999999999998,0.7295454545454543,0.7363636363636361,0.7427272727272725,0.751363636363636,0.7577272727272725,0.7645454545454542,0.7709090909090907,0.7786363636363633,0.7849999999999997,0.7918181818181815,0.7981818181818179,0.8059090909090906,0.8122727272727269,0.8186363636363634,0.8259090909090906
060816063001,0.10610619469026547,0.18283185840707958,0.3140707964601769,0.4451327433628317,0.5702654867256636,0.5886725663716812,0.6046017699115043,0.6211504424778759,0.6384955752212387,0.6561061946902652,0.6730973451327431,0.6838938053097342,0.6938938053097342,0.705663716814159,0.7147787610619466,0.7235398230088492,0.7320353982300881,0.7428318584070792,0.7509734513274333,0.7587610619469023,0.7662831858407075,0.7767256637168138,0.7835398230088492,0.7906194690265482,0.800176991150442
060816063003,0.06749999999999999,0.16333333333333325,0.29083333333333317,0.4170833333333332,0.540833333333333,0.552083333333333,0.5629166666666664,0.574583333333333,0.589583333333333,0.6066666666666664,0.623333333333333,0.6416666666666663,0.6612499999999996,0.6837499999999996,0.7041666666666663,0.7254166666666662,0.7441666666666662,0.7649999999999995,0.7824999999999995,0.7987499999999995,0.8133333333333328,0.8304166666666661,0.8445833333333327,0.8595833333333327,0.8733333333333327
060816064001,0.12,0.25,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
060816066001,0.11499999999999999,0.185,0.32,0.46499999999999997,0.6,0.61,0.62,0.63,0.65,0.67,0.69,0.6950000000000001,0.7,0.71,0.715,0.72,0.725,0.735,0.74,0.745,0.75,0.76,0.765,0.77,0.78
060816066002,0.055,0.11,0.125,0.145,0.16,0.16999999999999998,0.185,0.2,0.22,0.245,0.275,0.29000000000000004,0.32,0.36,0.405,0.445,0.485,0.5249999999999999,0.56,0.59,0.62,0.65,0.675,0.6950000000000001,0.72
060816072002,0.17,0.21,0.29,0.34,0.38,0.43,0.47,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69
060816075001,0.11889987639060565,0.19584672435105063,0.3399505562422743,0.4831149567367119,0.6190605686032138,0.6330655129789863,0.6483683559950555,0.66274412855377,0.6765265760197774,0.6921137206427687,0.7067985166872681,0.7134487021013596,0.719728059332509,0.7296044499381951,0.7362546353522865,0.7434363411619281,0.7495550061804696,0.7590605686032137,0.7651792336217551,0.7712978986402965,0.7774165636588379,0.7863906056860319,0.7930407911001234,0.7991594561186648,0.8076019777503087
060816076001,0.11689781021897808,0.19620437956204376,0.34339416058394157,0.4902919708029196,0.6298540145985401,0.6454014598540144,0.6604744525547444,0.6749999999999998,0.6896715328467152,0.7049270072992699,0.719890510948905,0.7269343065693429,0.7335766423357662,0.742883211678832,0.7495255474452553,0.7562773722627736,0.7622262773722626,0.7709489051094889,0.776897810218978,0.7825547445255473,0.7882116788321166,0.7965328467153283,0.801788321167883,0.8070437956204377,0.8150729927007297
060816076002,0.1184049079754601,0.19785276073619626,0.3477300613496932,0.493680981595092,0.633006134969325,0.6468711656441717,0.664049079754601,0.6787730061349692,0.6919018404907974,0.7066257668711655,0.720368098159509,0.7271165644171778,0.7334969325153372,0.7433128834355827,0.7496932515337421,0.7561963190184047,0.762331288343558,0.771288343558282,0.7774233128834354,0.7836809815950918,0.7895705521472389,0.7985276073619629,0.8044171779141102,0.8106748466257666,0.8190184049079752
060816076003,0.1203669724770642,0.19986238532110087,0.353440366972477,0.5082568807339449,0.6544954128440366,0.6665596330275227,0.6796788990825686,0.6925688073394494,0.7058256880733943,0.7199082568807338,0.7339908256880733,0.7396788990825687,0.7453669724770641,0.7547706422018348,0.7610091743119264,0.7675229357798163,0.77348623853211,0.7820642201834861,0.7874770642201833,0.7931651376146788,0.798577981651376,0.806880733944954,0.8122935779816512,0.8177064220183484,0.8257339449541282
060816076004,0.12156626506024096,0.1989759036144578,0.34801204819277104,0.49966867469879517,0.6428614457831324,0.6566265060240963,0.6687951807228916,0.6820180722891566,0.6973493975903614,0.7126807228915661,0.7274698795180722,0.7322289156626505,0.7369879518072289,0.7451807228915661,0.7499397590361445,0.7546987951807228,0.7594578313253011,0.7676506024096384,0.7724096385542167,0.7771686746987951,0.7819277108433734,0.7901204819277108,0.7948795180722891,0.7996385542168674,0.8078313253012047
060816077011,0.11700831024930747,0.20005540166204983,0.3591135734072022,0.5205817174515235,0.6750969529085872,0.6849584487534626,0.6969252077562327,0.7071468144044321,0.7209418282548475,0.7357063711911357,0.7498614958448753,0.7547922437673129,0.7593628808864266,0.7678116343490304,0.7724930747922436,0.7774238227146814,0.7821052631578946,0.7901939058171744,0.7948753462603877,0.7998060941828253,0.8044875346260387,0.8125761772853184,0.8172576177285318,0.8221883656509694,0.8300277008310248
060816077012,0.11449152542372881,0.20402542372881355,0.37351694915254235,0.548728813559322,0.7171610169491525,0.7262711864406779,0.7341101694915254,0.7419491525423728,0.7557203389830508,0.7694915254237288,0.7828389830508474,0.7870762711864406,0.7911016949152542,0.798093220338983,0.8021186440677965,0.8063559322033897,0.8101694915254237,0.8171610169491526,0.8209745762711864,0.8247881355932203,0.8286016949152541,0.8353813559322034,0.8389830508474576,0.8425847457627118,0.849364406779661
060816077013,0.11644986449864499,0.20346883468834687,0.3706233062330623,0.5432791327913279,0.7085365853658536,0.7172357723577235,0.7253116531165311,0.7334146341463414,0.7475880758807588,0.7617615176151761,0.7753387533875338,0.7790514905149051,0.7827642276422764,0.7898644986449864,0.7935772357723576,0.7972899728997289,0.8010027100271002,0.8081029810298103,0.8118157181571816,0.8155284552845528,0.8192411924119241,0.8263414634146341,0.8300542005420054,0.8337669376693766,0.8408672086720866
060816077021,0.12217391304347823,0.19999999999999996,0.3499232736572889,0.5021739130434781,0.6461125319693094,0.6599488491048593,0.6721739130434782,0.685549872122762,0.7005626598465472,0.7155754475703323,0.7301278772378516,0.734859335038363,0.7395907928388745,0.7476726342710995,0.7524040920716111,0.7571355498721226,0.7618670076726342,0.7699488491048592,0.7746803069053707,0.7794117647058822,0.7841432225063937,0.7922250639386188,0.7969565217391303,0.8016879795396418,0.8097698209718669
060816077022,0.1222549019607843,0.20321078431372547,0.35948529411764707,0.5189705882352941,0.6708333333333333,0.6828676470588235,0.6937990196078431,0.7058333333333333,0.7199754901960784,0.7341176470588235,0.7482598039215687,0.7526225490196078,0.756985294117647,0.7646078431372549,0.7689705882352941,0.7733333333333333,0.7776960784313725,0.7853186274509804,0.7896813725490195,0.7940441176470587,0.798406862745098,0.8060294117647059,0.810392156862745,0.8147549019607843,0.822377450980392
060816078001,0.12179226069246434,0.20443991853360485,0.3639307535641547,0.5268228105906313,0.6823217922606923,0.6937067209775966,0.7040936863543786,0.715478615071283,0.7292668024439917,0.7430549898167005,0.7568431771894092,0.7610386965376781,0.7652342158859469,0.7726272912423624,0.7768228105906312,0.7810183299389001,0.7852138492871689,0.7926069246435843,0.7968024439918532,0.8009979633401221,0.8051934826883909,0.8125865580448064,0.8167820773930752,0.820977596741344,0.8283706720977595
060816078002,0.12332627118644067,0.20260593220338982,0.35572033898305083,0.5113771186440678,0.6592372881355932,0.6722881355932203,0.6840254237288135,0.6970762711864407,0.7113559322033898,0.725635593220339,0.7399152542372881,0.7444703389830508,0.7490254237288135,0.756822033898305,0.7613771186440678,0.7659322033898305,0.7704872881355932,0.7782838983050847,0.7828389830508474,0.7873940677966101,0.7919491525423729,0.7997457627118644,0.8043008474576271,0.8088559322033898,0.8166525423728813
060816079001,0.11769230769230767,0.20201591511936334,0.3607427055702917,0.5236074270557028,0.67946949602122,0.6918832891246682,0.7022281167108751,0.7133687002652518,0.7275331564986736,0.7416976127320953,0.7558620689655171,0.7610344827586205,0.7658885941644561,0.7735278514588857,0.7783819628647213,0.7835543766578248,0.7880901856763923,0.795729442970822,0.8002652519893897,0.8048010610079573,0.809336870026525,0.8166578249336868,0.8208753315649865,0.8250928381962863,0.8324137931034481
060816079002,0.12176190476190474,0.19871428571428568,0.34723809523809523,0.49457142857142855,0.6339047619047619,0.6491904761904761,0.6659047619047618,0.6804285714285714,0.6939047619047618,0.7085238095238094,0.7225714285714285,0.7285238095238095,0.7335714285714285,0.7422380952380951,0.7478571428571428,0.7538095238095237,0.759095238095238,0.7671904761904761,0.7724761904761903,0.7777619047619047,0.783047619047619,0.7908095238095237,0.7957619047619047,0.8007142857142856,0.8084761904761903
060816079003,0.1074590163934426,0.1797540983606557,0.30745901639344253,0.42770491803278676,0.5407377049180326,0.558606557377049,0.5825409836065573,0.6000819672131146,0.6148360655737704,0.6327868852459014,0.6487704918032785,0.6600819672131146,0.6697540983606556,0.6835245901639342,0.6936885245901637,0.704262295081967,0.7133606557377047,0.725245901639344,0.7343442622950818,0.7431967213114752,0.7517213114754095,0.7626229508196718,0.7704098360655735,0.7785245901639342,0.7884426229508193
060816080011,0.12215777262180968,0.20308584686774936,0.3619953596287702,0.5222737819025521,0.6747795823665892,0.6858004640371228,0.6987703016241298,0.7101856148491877,0.7233410672853826,0.7372853828306263,0.7508352668213455,0.7551276102088165,0.7590255220417632,0.7667981438515079,0.7710904872389789,0.7753828306264499,0.779675174013921,0.7870533642691413,0.7913457076566124,0.7956380510440834,0.7999303944315543,0.8073085846867747,0.8116009280742458,0.8158932714617168,0.8232714617169371
060816080012,0.12912087912087908,0.2016483516483516,0.3586813186813186,0.4997802197802197,0.6343956043956043,0.6484615384615383,0.6789010989010987,0.696263736263736,0.7054945054945053,0.718241758241758,0.7276923076923075,0.7335164835164834,0.7368131868131866,0.7463736263736261,0.7514285714285712,0.7564835164835162,0.7615384615384613,0.7678021978021976,0.7728571428571427,0.7779120879120877,0.7829670329670327,0.789230769230769,0.794285714285714,0.7993406593406591,0.8056043956043953
060816080021,0.12275974025974021,0.19767857142857137,0.34392857142857136,0.4909253246753245,0.6290909090909089,0.6433116883116882,0.6578733766233764,0.6718831168831167,0.6868506493506492,0.7023701298701297,0.7171266233766231,0.7220941558441556,0.726785714285714,0.7353733766233764,0.7403409090909089,0.7453084415584413,0.7502759740259738,0.7585876623376622,0.7635551948051946,0.7685227272727271,0.7734902597402595,0.7818019480519478,0.7867694805194803,0.7917370129870127,0.800048701298701
060816080022,0.12145962732919253,0.19736024844720496,0.34354037267080745,0.49270186335403726,0.633167701863354,0.647080745341615,0.6594409937888199,0.6728571428571428,0.688695652173913,0.7045341614906833,0.7198757763975154,0.724751552795031,0.7296273291925466,0.7380745341614907,0.7429503105590062,0.7478260869565218,0.7527018633540372,0.7611490683229813,0.7660248447204969,0.7709006211180124,0.7757763975155278,0.784223602484472,0.7890993788819876,0.7939751552795031,0.8024223602484472
060816080023,0.1223,0.204,0.36169999999999997,0.5225,0.6758,0.6877,0.6984999999999999,0.7103999999999999,0.7242999999999999,0.7382,0.7521,0.7564,0.7606999999999999,0.7682,0.7725,0.7767999999999999,0.7810999999999999,0.7886,0.7928999999999999,0.7971999999999999,0.8015,0.8089999999999999,0.8132999999999999,0.8176,0.8251
060816080041,0.11054347826086955,0.1725,0.3005434782608695,0.40619565217391296,0.5033695652173913,0.5208695652173913,0.5608695652173912,0.5828260869565216,0.5933695652173911,0.609782608695652,0.6224999999999998,0.6359782608695651,0.6463043478260868,0.6642391304347826,0.6781521739130434,0.6930434782608694,0.7064130434782607,0.7194565217391302,0.7308695652173911,0.7428260869565215,0.7542391304347824,0.7654347826086955,0.7764130434782608,0.7873913043478259,0.7980434782608694
060816080042,0.12150078988941547,0.19976303317535543,0.3505055292259083,0.5041074249605054,0.6494154818325433,0.6627014218009477,0.6745181674565559,0.6873617693522905,0.7024802527646128,0.7175987361769351,0.7322748815165876,0.7369352290679303,0.7415955766192732,0.7496682464454976,0.7543285939968403,0.7589889415481832,0.7636492890995259,0.7717219589257502,0.776382306477093,0.7810426540284359,0.7857030015797787,0.793775671406003,0.7984360189573458,0.8030963665086887,0.811169036334913
060816080043,0.1228363636363636,0.1982545454545454,0.3473818181818181,0.4933818181818181,0.6309818181818181,0.6453818181818181,0.6643272727272725,0.6786545454545453,0.691381818181818,0.7059999999999998,0.7196727272727271,0.7254181818181816,0.7299636363636361,0.7388727272727271,0.7443636363636362,0.7501090909090907,0.7553454545454543,0.7633090909090907,0.7685454545454543,0.773781818181818,0.7790181818181816,0.7867272727272725,0.7917090909090907,0.7966909090909089,0.8043999999999998
060816080044,0.08585127201565554,0.1691389432485322,0.28819960861056737,0.4069863013698628,0.5226027397260271,0.5406262230919763,0.5567123287671231,0.5730332681017609,0.5912915851272013,0.6108219178082188,0.6296086105675144,0.6454794520547942,0.6602152641878666,0.6758121330724066,0.6903131115459878,0.7048532289628175,0.7175146771037177,0.7317612524461835,0.7439138943248528,0.755029354207436,0.7662818003913889,0.7790998043052833,0.7894911937377685,0.7994520547945201,0.8105283757338547
060816080131,0.11831168831168828,0.2012662337662337,0.3608116883116882,0.5251136363636363,0.6815746753246752,0.6920129870129869,0.7015584415584414,0.7115097402597401,0.7262987012987011,0.7410876623376621,0.7553896103896102,0.7595129870129869,0.7636363636363634,0.771233766233766,0.7753571428571426,0.7794805194805193,0.7836038961038959,0.7912012987012985,0.7953246753246751,0.7994480519480518,0.8035714285714284,0.811168831168831,0.8152922077922076,0.8194155844155842,0.8270129870129868
060816080132,0.12088235294117645,0.19220588235294114,0.334656862745098,0.47612745098039205,0.6076960784313724,0.6213235294117646,0.6390686274509803,0.6525980392156862,0.667892156862745,0.6847549019607841,0.6999509803921568,0.7051470588235292,0.7095588235294116,0.7190196078431371,0.7242156862745096,0.7294117647058822,0.7346078431372547,0.74328431372549,0.7484803921568626,0.7536764705882352,0.7588725490196077,0.7675490196078429,0.7727450980392155,0.777941176470588,0.7866176470588233
060816080133,0.12244318181818178,0.20267045454545451,0.35988636363636356,0.5133522727272726,0.6607954545454544,0.6752272727272726,0.6929545454545453,0.7077272727272725,0.7204545454545452,0.7338636363636362,0.7460227272727271,0.7517613636363634,0.7564772727272725,0.764772727272727,0.7698295454545452,0.7751136363636362,0.7799431818181817,0.7869886363636361,0.7918181818181815,0.796647727272727,0.8014772727272725,0.8082954545454544,0.8128977272727271,0.8174999999999998,0.8243181818181815
